"full_name","id"
"Victor Fleming","278"
"F. W. Murnau","279"
"Sharon Maguire","280"
"Roberto Benigni","281"
"George Roy Hill","282"
"Sergei Eisenstein","283"
"Terence Young","284"
"Tetsuya Nomura","285"
"Takeshi Nozue","286"
"Robert Altman","287"
"Elia Kazan","288"
"Guy Hamilton","289"
"Jan de Bont","290"
"William Wyler","291"
"Walter Salles","292"
"Lewis Gilbert","293"
"Peter R. Hunt","294"
"Robert Flaherty","295"
"Park Chan-wook","296"
"Chris Columbus","297"
"Alfonso Cuarón","298"
"Mike Newell","299"
"David Yates","300"
"Jacques Tourneur","301"
"Tim Robbins","302"
"Jay Roach","303"
"Joseph L. Mankiewicz","304"
"Martin Campbell","305"
"Jane Campion","306"
"Roger Spottiswoode","307"
"Lukas Moodysson","308"
"Peter Lichtefeld","309"
"M. Night Shyamalan","310"
"Edgar Wright","311"
"George Pollock","312"
"James McTeigue","313"
"John Woo","314"
"Ford Beebe Jr.","315"
"Ben Sharpsteen","316"
"James Algar","317"
"Paul Satterfield","318"
"Jim Handley","319"
"Wilfred Jackson","320"
"Bill Roberts","321"
"Norman Ferguson","322"
"Hamilton Luske","323"
"T. Hee","324"
"Samuel Armstrong","325"
"Gérard Oury","326"
"Allen Hughes","327"
"Albert Hughes","328"
"Jonathan Dayton","329"
"Valerie Faris","330"
"Georges Méliès","331"
"Carl Theodor Dreyer","332"
"Andrew Niccol","333"
"Richard Attenborough","334"
"Jan Svěrák","335"
"Cameron Crowe","336"
"Doug Liman","337"
"Rupert Wainwright","338"
"Brad Silberling","339"
"Roger Kumble","340"
"John Moore","341"
"Vicky Jenson","342"
"Kelly Asbury","343"
"Conrad Vernon","344"
"Chris Miller","345"
"John Musker","346"
"Ron Clements","347"
"David Zucker","348"
"Jim Abrahams","349"
"Stanley Kramer","350"
"Hiroyuki Okiura","351"
"Willard Carroll","352"
"David Lean","353"
"Robert Wise","354"
"Niels Mueller","355"
"Wong Kar-wai","356"
"Rob Bowman","357"
"Bob Clark","358"
"Chuck Russell","359"
"Nora Ephron","360"
"John Lasseter","361"
"Jon Turteltaub","362"
"Paul Michael Glaser","363"
"Marc Forster","364"
"Phillip Noyce","365"
"Gavin Hood","366"
"Franklin J. Schaffner","367"
"Gene Kelly","368"
"Stanley Donen","369"
"Marleen Gorris","370"
"Arend Agthe","371"
"Brian Levant","372"
"Joseph Vilsmaier","373"
"Marc Caro","374"
"Charlie Chaplin","375"
"Stuart Rosenberg","376"
"Martin Koolhoven","377"
"Vincente Minnelli","378"
"Norman Jewison","379"
"Hiroyuki Kitakubo","380"
"George A. Romero","381"
"Dean Parisot","382"
"Joe Dante","383"
"Wolfgang Staudte","384"
"Richard Donner","385"
"John Carpenter","386"
"Carlos Saldanha","387"
"Eric Darnell","388"
"Tom McGrath","389"
"J.J. Abrams","390"
"Mel Brooks","391"
"Clyde Bruckman","392"
"Buster Keaton","393"
"John Sturges","394"
"Gaspar Noé","395"
"William A. Wellman","396"
"George Cukor","397"
"John Frankenheimer","398"
"Robert Rossen","399"
"Anders Thomas Jensen","400"
"Stefan Ruzowitzky","401"
"Luchino Visconti","402"
"Jon Amiel","403"
"Zhang Yang","404"
"Mark Pellington","405"
"Emir Kusturica","406"
"Niki Caro","407"
"Josef Rusnak","408"
"Luigi Falorni","409"
"Byambasuren Davaa","410"
"Ken Loach","411"
"Bill Condon","412"
"Brad McGann","413"
"Fernando León de Aranoa","414"
"Nadia Tass","415"
"Achim Bornhak","416"
"James Ivory","417"
"Sylvester Stallone","418"
"Robert De Niro","419"
"Peter Webber","420"
"Allen Coulter","421"
"Mark Steven Johnson","422"
"Todd Robinson","423"
"Philippe Lioret","424"
"Bong Joon-ho","425"
"Richard Eyre","426"
"Heiki Ernits","427"
"Janno Põldma","428"
"Joachim Masannek","429"
"Gábor Csupó","430"
"David Ayer","431"
"Stephen J. Anderson","432"
"Steve Bendelack","433"
"Philipp Stennert","434"
"Cyrill Boss","435"
"Zack Snyder","436"
"Rolf Schübel","437"
"Bernardo Bertolucci","438"
"Mel Smith","439"
"Santiago Segura","440"
"Chris Kraus","441"
"Errol Morris","442"
"Mary Harron","443"
"Julie Taymor","444"
"Arthur Rankin","445"
"Jr.","446"
"Jules Bass","447"
"Julio Medem","448"
"John G. Avildsen","449"
"Ted Kotcheff","450"
"George P. Cosmatos","451"
"Peter MacDonald","452"
"Jeroen Krabbé","453"
"John Cameron Mitchell","454"
"Miranda July","455"
"Zana Briski","456"
"Ross Kauffman","457"
"Gabriele Muccino","458"
"Ron Underwood","459"
"Olivier Dahan","460"
"Renny Harlin","461"
"Michael Tolkin","462"
"Randy Barbato","463"
"Fenton Bailey","464"
"Guillermo del Toro","465"
"Icíar Bollaín","466"
"Tobi Baumann","467"
"Greg Harrison","468"
"Michael Moore","469"
"Jonathan Caouette","470"
"Kim Sung-soo","471"
"Andy Tennant","472"
"Todd Field","473"
"Bruce Beresford","474"
"Sung Hyung Cho","475"
"Phil Morrison","476"
"Po-Chih Leong","477"
"Chris Nahon","478"
"Lodge Kerrigan","479"
"Romuald Karmakar","480"
"Ning Hao","481"
"Neil Burger","482"
"Donald Petrie","483"
"Michael Pressman","484"
"Steve Barron","485"
"Stuart Gillard","486"
"Kevin Macdonald","487"
"Marcus Nispel","488"
"Lars Kraume","489"
"Laurent Cantet","490"
"Mike Judge","491"
"Sven Taddicken","492"
"Ol Parker","493"
"Mike Mills","494"
"Terry Zwigoff","495"
"Jacques Audiard","496"
"Cédric Klapisch","497"
"Hendrik Handloegten","498"
"Juan Carlos Fresnadillo","499"
"Rozz Williams","500"
"Nico B.","501"
"Rob Marshall","502"
"Alexander Witt","503"
"Nancy Meyers","504"
"Christian Zübert","505"
"David Koepp","506"
"Peyton Reed","507"
"John Irvin","508"
"Agnieszka Holland","509"
"Gregory Hoblit","510"
"Shawn Levy","511"
"Michelle MacLaren","512"
"David O. Russell","513"
"Maria Giese","514"
"John Hay","515"
"David Evans","516"
"Tomy Wigand","517"
"Ronny Yu","518"
"Axel Sand","519"
"Michael Karen","520"
"Brian Gibson","521"
"Christopher McQuarrie","522"
"Xavier Gens","523"
"Dominik Moll","524"
"Alan Parker","525"
"Jon Avnet","526"
"Simon Wincer","527"
"Paul Haggis","528"
"Bronwen Hughes","529"
"Irwin Winkler","530"
"George Sluizer","531"
"Richard LaGravenese","532"
"Roger Donaldson","533"
"Peter Hewitt","534"
"Sebastian Schipper","535"
"Phil Joanou","536"
"Eric Steel","537"
"Luc Jacquet","538"
"Taylor Hackford","539"
"Ishirō Honda","540"
"Bettina Blümner","541"
"Ted Post","542"
"Eli Roth","543"
"Michael Davis","544"
"Stuart Gordon","545"
"Rob Zombie","546"
"Marcus H. Rosenmüller","547"
"Simon West","548"
"Stephen Norrington","549"
"Bret Michaels","550"
"Steven Zaillian","551"
"John Madden","552"
"Jon Favreau","553"
"Rob Minkoff","554"
"Sandra Nettelbeck","555"
"Rob Cohen","556"
"Doris Dörrie","557"
"John Sayles","558"
"Rachel Grady","559"
"Heidi Ewing","560"
"Paul Hough","561"
"Davis Guggenheim","562"
"Gilles Bourdos","563"
"David L. Cunningham","564"
"Herbert Ross","565"
"Claude Chabrol","566"
"Todd Haynes","567"
"Gregg Araki","568"
"Jim Fall","569"
"Joe Russo","570"
"Anthony Russo","571"
"John Schlesinger","572"
"Kevin Smith","573"
"Marina de Van","574"
"Virginie Wagon","575"
"Niels Arden Oplev","576"
"Ondi Timoner","577"
"Julie Delpy","578"
"Bob Rafelson","579"
"Jessica Yu","580"
"Nelson Shin","581"
"Ernst Lubitsch","582"
"André Hunebelle","583"
"Sebastian Gutierrez","584"
"John Boorman","585"
"Bille August","586"
"Albert Band","587"
"Charles Band","588"
"John Milius","589"
"Irvin Kershner","590"
"Richard Marquand","591"
"Manuel Huerga","592"
"Dai Sijie","593"
"Alejandro Amenábar","594"
"Jeremy Leven","595"
"Bruno Grass","596"
"Ute Wieland","597"
"Wolfgang Büld","598"
"Gilles Marchand","599"
"Keren Yedaya","600"
"Sarah Polley","601"
"Pat O'Connor","602"
"Sam Garbarski","603"
"Samira Makhmalbaf","604"
"Claude Lelouch","605"
"Idrissa Ouedraogo","606"
"Danis Tanović","607"
"Sean Penn","608"
"Youssef Chahine","609"
"Amos Gitai","610"
"Shōhei Imamura","611"
"Marc Webb","612"
"Sylvain White","613"
"Alexandra Leclère","614"
"Tod Williams","615"
"Michael Apted","616"
"Mark Neveldine","617"
"Brian Taylor","618"
"Eric Bress","619"
"J. Mackye Gruber","620"
"Beeban Kidron","621"
"Bruce Campbell","622"
"Achim von Borries","623"
"Andrew Davis","624"
"Robert Towne","625"
"Joachim Rønning","626"
"Espen Sandberg","627"
"Takashi Shimizu","628"
"Toby Wilkins","629"
"Tim Story","630"
"Sunny Abberton","631"
"Macario De Souza","632"
"Radu Mihăileanu","633"
"Emanuele Crialese","634"
"Bertrand Tavernier","635"
"James Gray","636"
"Anno Saul","637"
"Richard Quine","638"
"George Miller","639"
"Chen Kaige","640"
"Cristian Mungiu","641"
"Naomi Kawase","642"
"Vincent Paronnaud","643"
"Marjane Satrapi","644"
"Carlos Reygadas","645"
"Lee Chang-dong","646"
"Rachid Bouchareb","647"
"Adam Shankman","648"
"Gary Sinyor","649"
"Tim Sullivan","650"
"Steven Brill","651"
"Florent-Emilio Siri","652"
"Étienne Chatiliez","653"
"Matthew Broderick","654"
"Antoine Fuqua","655"
"John Glen","656"
"Predrag Antonijević","657"
"Alejandro Agresti","658"
"John Dahl","659"
"Russell Mulcahy","660"
"Alex Proyas","661"
"Stephen Herek","662"
"Tom McCarthy","663"
"Michael Cristofer","664"
"Griffin Dunne","665"
"Nicolas Winding Refn","666"
"Brad Bird","667"
"Pierre Jolivet","668"
"Jonathan Lynn","669"
"Robert Lee","670"
"K.C. Bascombe","671"
"Jez Butterworth","672"
"Andrzej Bartkowiak","673"
"John Badham","674"
"Peter Medak","675"
"Guy Manos","676"
"Robby Henson","677"
"Richard Greenberg","678"
"John Putch","679"
"Rod Lurie","680"
"Hervé Renoh","681"
"John Hughes","682"
"Brett Ratner","683"
"Gérard Krawczyk","684"
"Brian Helgeland","685"
"Hironobu Sakaguchi","686"
"Motonori Sakakibara","687"
"Carl Franklin","688"
"Marc Rothemund","689"
"Howard Deutch","690"
"Richard Rush","691"
"David Drury","692"
"Andrew Van Slee","693"
"Simon Wells","694"
"Andrew Lau Wai-Keung","695"
"Mark Rydell","696"
"Harald Zwart","697"
"Uli Edel","698"
"Cecilia Peck","699"
"Barbara Kopple","700"
"Hugh Johnson","701"
"Kari Skogland","702"
"Malcolm Mowbray","703"
"Murali K. Thalluri","704"
"Peter Timm","705"
"David Wain","706"
"Daniel Sackheim","707"
"Liam Lynch","708"
"Colin Nutley","709"
"Gottfried Kolditz","710"
"John De Bello","711"
"María Lidón","712"
"Benjamin Quabeck","713"
"Andi Wecker","714"
"Frank Oz","715"
"Marion Hänsel","716"
"Max Färberböck","717"
"Ole Bornedal","718"
"Konrad Petzold","719"
"Leander Haußmann","720"
"Harold Becker","721"
"Adrian Lyne","722"
"Andrew Jarecki","723"
"Daniela Thomas","724"
"Sylvain Chomet","725"
"Christopher Doyle","726"
"Oliver Schmitz","727"
"Alexander Payne","728"
"Frédéric Auburtin","729"
"Gérard Depardieu","730"
"Ethan Coen","731"
"Nobuhiro Suwa","732"
"Bruno Podalydès","733"
"Olivier Assayas","734"
"Robert Shaye","735"
"Timur Bekmambetov","736"
"Matthew Vaughn","737"
"Penny Marshall","738"
"Maurice Pialat","739"
"Zach Helm","740"
"Ben Sombogaart","741"
"David LaChapelle","742"
"Peter Kassovitz","743"
"Bernhard Sinkel","744"
"Joe Pytka","745"
"Joshua Brand","746"
"Harley Cokeliss","747"
"Eric Small","748"
"Phil Alden Robinson","749"
"George Gallo","750"
"Aleksandr Buravskiy","751"
"Gérard Pirès","752"
"Roger Young","753"
"Heinrich Breloer","754"
"Jia Zhangke","755"
"Leonard Nimoy","756"
"Lars Büchel","757"
"Mike Binder","758"
"Nigel Cole","759"
"Paolo Taviani","760"
"Vittorio Taviani","761"
"Michael Crichton","762"
"Aleksandr Alov","763"
"Vladimir Naumov","764"
"Jean-Daniel Verhaeghe","765"
"Frédéric Forestier","766"
"Thomas Langmann","767"
"Rodney McDonald","768"
"Louis Grospierre","769"
"Eriprando Visconti","770"
"Javier Balaguer","771"
"James Yukich","772"
"Roger Christian","773"
"Catherine Hardwicke","774"
"Édouard Molinaro","775"
"Johnnie To","776"
"Harris Done","777"
"Fernando Trueba","778"
"Stefen Fangmeier","779"
"Paul Greengrass","780"
"Hirokazu Kore-eda","781"
"Gianfranco De Bosio","782"
"James L. Brooks","783"
"Franco Zeffirelli","784"
"Louis Malle","785"
"Gérard Jugnot","786"
"Anand Tucker","787"
"James Orr","788"
"Norman René","789"
"Mark L. Lester","790"
"Bonnie Hunt","791"
"Luis Llosa","792"
"Michael Lehmann","793"
"Marc Lawrence","794"
"Lau Kar-leung","795"
"David Slade","796"
"Gary Ross","797"
"Eduardo Sánchez","798"
"Daniel Myrick","799"
"Hideo Nakata","800"
"Leopold Grün","801"
"Wang Quan'an","802"
"Raffaele Mertes","803"
"Joseph Sargent","804"
"Atiq Rahimi","805"
"Ermanno Olmi","806"
"Peter Hall","807"
"Gianni Buffardi","808"
"Emilio Martínez Lázaro","809"
"Uwe Boll","810"
"Régis Wargnier","811"
"Robert Markowitz","812"
"William Karel","813"
"Roberto Rossellini","814"
"John Herzfeld","815"
"Paul Driessen","816"
"Stephan Elliott","817"
"Jean van de Velde","818"
"Leos Carax","819"
"J.B. Rogers","820"
"Robert Pulcini","821"
"Shari Springer Berman","822"
"Paul Flaherty","823"
"David Twohy","824"
"Ben Stiller","825"
"Lina Wertmüller","826"
"Alain Resnais","827"
"Antonin Svoboda","828"
"Claude Berri","829"
"Michael Rymer","830"
"Éric Rohmer","831"
"Robert Duvall","832"
"Takashi Miike","833"
"Alain Chabat","834"
"Rand Ravich","835"
"Colin Teague","836"
"Michael Radford","837"
"J. Searle Dawley","838"
"Ken Kwapis","839"
"Holger-Madsen","840"
"Michael Anderson","841"
"Arthur Maria Rabenalt","842"
"Paul Wegener","843"
"Carl Boese","844"
"Yakov Protazanov","845"
"Julian Jarrold","846"
"Timothy Bond","847"
"Jack Fletcher","848"
"Bob Keen","849"
"Richard Franklin","850"
"Stuart Orme","851"
"Nicolas Gessner","852"
"John S. Robertson","853"
"Mikael Håfström","854"
"Kenneth Branagh","855"
"David Wickes","856"
"Martin Durkin","857"
"Betty Thomas","858"
"Phil Karlson","859"
"Mark Robson","860"
"Jim Mallon","861"
"Leigh Scott","862"
"Michael Caton-Jones","863"
"Peter Greenaway","864"
"Valery Todorovsky","865"
"George Stevens","866"
"Charles Laughton","867"
"Alain Jessua","868"
"Kathi Castillo","869"
"Terrence Malick","870"
"Virginie Despentes","871"
"Coralie Trinh Thi","872"
"Mitch Marcus","873"
"John Blush","874"
"Salvatore Mereu","875"
"Oxide Chun Pang","876"
"Danny Pang","877"
"Kinji Fukasaku","878"
"Kenta Fukasaku","879"
"Gary Walkow","880"
"Jesús Franco","881"
"George Clooney","882"
"Martyn Burke","883"
"Chris Smith","884"
"Sarah Price","885"
"Dan Ollman","886"
"Robert Thalheim","887"
"José Luis Madrid","888"
"Joe D'Amato","889"
"Léonard Keigel","890"
"Alberto Bevilacqua","891"
"Bruce A. Evans","892"
"Pierre Granier-Deferre","893"
"Robert Enrico","894"
"Sean Ellis","895"
"Geoff Murphy","896"
"Mike Hodges","897"
"Mario Monicelli","898"
"Hendrik Hölzemann","899"
"Pascale Ferran","900"
"Richard Gale","901"
"Dennis Dugan","902"
"Douglas McGrath","903"
"Roland Suso Richter","904"
"Eduard Pentslin","905"
"Jim Gillespie","906"
"Danny Cannon","907"
"Jonathan King","908"
"Gillies MacKinnon","909"
"Scott Hicks","910"
"Clive Donner","911"
"Mark Christopher","912"
"Harald Reinl","913"
"Gilles Grangier","914"
"Winfried Oelsner","915"
"Daniel Sánchez Arévalo","916"
"Mike Johnson","917"
"Andrea Porporati","918"
"Trey Parker","919"
"Henry Bean","920"
"Hans W. Geißendörfer","921"
"Pierre Tchernia","922"
"Jeremiah S. Chechik","923"
"Corey Yuen","924"
"Ted Demme","925"
"Lucy Walker","926"
"Bernard Borderie","927"
"Tony Bui","928"
"Sajid Khan","929"
"Billy Ray","930"
"Éric-Emmanuel Schmitt","931"
"John Guillermin","932"
"John Blanchard","933"
"John Bacchus","934"
"Pete Jacelone","935"
"Keenen Ivory Wayans","936"
"Yash Chopra","937"
"Aziz Mirza","938"
"Kunal Kohli","939"
"Nikkhil Advani","940"
"Malcolm D. Lee","941"
"Josiane Balasko","942"
"Michael Winner","943"
"James Huth","944"
"Michael Katleman","945"
"Fred Tepper","946"
"Kevin O'Neill","947"
"Brian Clyde","948"
"Alan Smithee","949"
"Rick Rosenthal","950"
"Aris Iliopulos","951"
"Joe Wright","952"
"Gregory Nava","953"
"Srdan Golubović","954"
"Richard Friedman","955"
"Christian Faure","956"
"Jean Chapot","957"
"John Newland","958"
"Dick Clement","959"
"Kai S. Pieck","960"
"Robert Luketic","961"
"Peter Chelsom","962"
"Bernd Eichinger","963"
"Rolf Thiele","964"
"Michael Herbig","965"
"Florian Baxmeyer","966"
"Jan Sebastian Ballhaus","967"
"Santosh Sivan","968"
"Granz Henman","969"
"Neil Armfield","970"
"Fritz Stapenhorst","971"
"Rudolf Jugert","972"
"Rebecca Miller","973"
"Alan J. Pakula","974"
"Jean-Jacques Beineix","975"
"Sean S. Cunningham","976"
"Bigas Luna","977"
"Andrew Dominik","978"
"Patrice Leconte","979"
"Shekhar Kapur","980"
"Jean Becker","981"
"Kevin Lima","982"
"Claude Autant-Lara","983"
"Robert A. Stemmle","984"
"F. Gary Gray","985"
"Kim Jee-woon","986"
"Brad Anderson","987"
"Jean Cocteau","988"
"Josée Dayan","989"
"Michael Patrick King","990"
"Tony Gilroy","991"
"Predrag Golubović","992"
"Nimród Antal","993"
"Dominik Graf","994"
"David DeBartolomé","995"
"Gavin Grazer","996"
"Rod Hardy","997"
"Kate Hudson","998"
"Paul Hoen","999"
"Patrick Sisam","1000"
"Siegfried Hartmann","1001"
"Ray Lawrence","1002"
"Sarah Robertson","1003"
"Adam Ravetch","1004"
"Robert Salis","1005"
"Arnaud Desplechin","1006"
"André Cayatte","1007"
"Abel Ferrara","1008"
"Jean Girault","1009"
"Pierre Kalfon","1010"
"Jean-Paul Le Chanois","1011"
"Georges Lampin","1012"
"Marguerite Duras","1013"
"Ben Affleck","1014"
"Nicolas Roeg","1015"
"Carlos Cuarón","1016"
"Renzo Martinelli","1017"
"Leila Conners","1018"
"Nadia Conners","1019"
"Alexander Singer","1020"
"Peter Collinson","1021"
"Stanislav Govorukhin","1022"
"René Clair","1023"
"Özer Kızıltan","1024"
"Wayne Wang","1025"
"Marcus Mittermeier","1026"
"Ron Shelton","1027"
"Jeff Stanzler","1028"
"David Moreton","1029"
"Jacques Deray","1030"
"Gil Junger","1031"
"Charlie Kaufman","1032"
"Otar Iosseliani","1033"
"Judd Apatow","1034"
"Andrzej Wajda","1035"
"Edward Norton","1036"
"Jean-Pierre Roux","1037"
"Henner Winckler","1038"
"John Maybury","1039"
"Raoul Peck","1040"
"Satoshi Kon","1041"
"Don Bluth","1042"
"James Cox","1043"
"Ulrich Seidl","1044"
"Boško Bošković","1045"
"Claude Miller","1046"
"Jacques Rouffio","1047"
"Bertrand Blier","1048"
"Tony Gatlif","1049"
"Christopher Smith","1050"
"Ivan Dykhovichnyy","1051"
"Kirsten Sheridan","1052"
"Menno Meyjes","1053"
"Michael Preece","1054"
"Kerry Conran","1055"
"Véra Belmont","1056"
"Nick Love","1057"
"Andrew Fleming","1058"
"Giovanni Pastrone","1059"
"Vittorio De Sica","1060"
"Nicolas Philibert","1061"
"Coline Serreau","1062"
"Michael Polish","1063"
"Dagur Kári","1064"
"Yurek Bogayevicz","1065"
"Sidney Franklin","1066"
"Zalman King","1067"
"Shane Black","1068"
"Richard Stanley","1069"
"Damian Harris","1070"
"Nick Hurran","1071"
"Jennifer Aniston","1072"
"Andrea Buchanan","1073"
"James Seale","1074"
"Rob Sitch","1075"
"Eran Kolirin","1076"
"Gregor Schnitzler","1077"
"Andy Hurst","1078"
"Róbert I. Douglas","1079"
"Tony Giglio","1080"
"Sanjay Leela Bhansali","1081"
"Martin Donovan","1082"
"Pier Paolo Pasolini","1083"
"Richard Shepard","1084"
"David Dobkin","1085"
"Paul Bolger","1086"
"Pete Travis","1087"
"Ventura Pons","1088"
"Scott Ziehl","1089"
"Graham Baker","1090"
"Sturla Gunnarsson","1091"
"Yuri Kulakov","1092"
"Gerrard Verhage","1093"
